Scenario, Experiment Name, Total Agents, # Distracted Agents, Simulation Time, Flow Rate, Average Agent Path Length
Egress,Walk and Talk,50,40,46.73767,1.069801,18.04803
Egress,Walk and Talk,50,40,47.97617,1.042184,18.06261
Egress,Walk and Talk,50,40,43.29407,1.154893,18.05031
Egress,Walk and Talk,50,40,43.66803,1.145002,17.11223
Egress,Walk and Talk,50,40,36.63135,1.364951,18.52797
Egress,Walk and Talk,50,40,37.35883,1.338372,17.4098
Egress,Walk and Talk,50,40,42.64429,1.17249,17.61153
Egress,Walk and Talk,50,40,40.47693,1.235272,17.64238
Egress,Walk and Talk,50,40,45.7276,1.093432,18.02078
Egress,Walk and Talk,50,40,40.9931,1.219717,17.26051
Egress,Walk and Talk,50,50,46.68909,1.070914,18.2379
Egress,Walk and Talk,50,50,45.554,1.097598,18.20824
Egress,Walk and Talk,50,50,44.0265,1.135679,17.28566
Egress,Walk and Talk,50,50,42.85747,1.166658,18.02819
Egress,Walk and Talk,50,50,40.81966,1.2249,17.70834
Egress,Walk and Talk,50,50,42.737,1.169946,17.53924
Egress,Walk and Talk,50,50,36.63541,1.3648,17.97791
Egress,Walk and Talk,50,50,40.21811,1.243221,17.77029
Egress,Walk and Talk,50,50,37.4397,1.335481,17.8939
Egress,Walk and Talk,50,50,40.6441,1.230191,16.69809
Egress,Walk and Talk,50,50,42.27505,1.182731,17.74366
Egress,Walk and Talk,50,50,36.01462,1.388325,17.72421
Egress,Walk and Talk,50,50,38.26721,1.306602,17.52189
Egress,Walk and Talk,50,50,37.40759,1.336627,17.64054
Egress,Walk and Talk,50,50,38.93945,1.284045,17.72148
Egress,Walk and Talk,50,50,45.07672,1.10922,17.81777
Egress,Walk and Talk,50,50,37.55353,1.331433,17.30949
Egress,Walk and Talk,50,50,42.20038,1.184824,17.24175
Egress,Walk and Talk,50,50,40.95935,1.220722,17.64176
Egress,Walk and Talk,50,50,43.78693,1.141893,17.21963
Egress,Walk and Read,50,1,35.10775,1.424187,17.62632
Egress,Walk and Read,50,1,32.41224,1.542627,17.14092
Egress,Walk and Read,50,1,36.80222,1.358614,18.03687
Egress,Walk and Read,50,1,33.25694,1.503446,17.76215
Egress,Walk and Read,50,1,34.24448,1.460089,18.27507
Egress,Walk and Read,50,1,38.55713,1.296777,17.7831
Egress,Walk and Read,50,1,35.2318,1.419173,17.75029
Egress,Walk and Read,50,1,33.75058,1.481456,18.31942
Egress,Walk and Read,50,1,32.17279,1.554108,18.12908
Egress,Walk and Read,50,1,33.32886,1.500201,17.82958
Egress,Walk and Read,50,1,36.0737,1.386051,17.434
Egress,Walk and Read,50,1,34.48462,1.449922,17.74982
Egress,Walk and Read,50,1,30.8848,1.618919,17.02845
Egress,Walk and Read,50,1,31.63275,1.58064,17.04936
Egress,Walk and Read,50,1,31.78812,1.572915,18.44662
Egress,Walk and Read,50,1,33.05023,1.512849,17.99884
Egress,Walk and Read,50,1,32.2149,1.552077,17.34186
Egress,Walk and Read,50,1,37.80328,1.322636,17.82262
Egress,Walk and Read,50,1,39.32037,1.271605,17.64346
Egress,Walk and Read,50,1,30.59674,1.634161,17.6442
Egress,Walk and Read,50,2,34.28699,1.458279,17.65659
Egress,Walk and Read,50,2,28.97072,1.725881,17.5861
Egress,Walk and Read,50,2,34.48605,1.449862,17.99746
Egress,Walk and Read,50,2,34.32867,1.456508,17.49951
Egress,Walk and Read,50,2,37.03107,1.350218,18.09943
Egress,Walk and Read,50,2,33.18445,1.50673,17.98969
Egress,Walk and Read,50,2,32.93575,1.518107,18.2323
Egress,Walk and Read,50,2,32.74701,1.526857,17.62396
Egress,Walk and Read,50,2,38.05368,1.313933,17.86734
Egress,Walk and Read,50,2,38.53458,1.297536,17.93715
Egress,Walk and Read,50,2,36.55658,1.367743,17.8427
Egress,Walk and Read,50,2,34.94785,1.430703,17.84435
Egress,Walk and Read,50,2,34.40198,1.453405,17.48251
Egress,Walk and Read,50,2,35.91864,1.392035,17.32688
Egress,Walk and Read,50,2,31.71603,1.57649,17.40741
Egress,Walk and Read,50,2,33.78522,1.479937,17.63599
Egress,Walk and Read,50,2,31.20935,1.602084,17.78621
Egress,Walk and Read,50,2,31.97113,1.563911,17.58801
Egress,Walk and Read,50,2,34.83441,1.435362,17.44929
Egress,Walk and Read,50,2,40.14874,1.245369,17.83416
Egress,Walk and Read,50,5,38.04073,1.314381,17.2547
Egress,Walk and Read,50,5,36.29586,1.377567,17.72082
Egress,Walk and Read,50,5,31.23199,1.600922,17.66512
Egress,Walk and Read,50,5,30.55408,1.636443,17.53587
Egress,Walk and Read,50,5,35.88052,1.393514,17.53474
Egress,Walk and Read,50,5,35.409,1.412071,18.64434
Egress,Walk and Read,50,5,30.26714,1.651957,17.16687
Egress,Walk and Read,50,5,34.65039,1.442985,17.82879
Egress,Walk and Read,50,5,31.42389,1.591146,17.56036
Egress,Walk and Read,50,5,34.38034,1.454319,17.92345
Egress,Walk and Read,50,5,32.4812,1.539352,17.22102
Egress,Walk and Read,50,5,31.7507,1.574768,18.14766
Egress,Walk and Read,50,5,38.32578,1.304605,17.77192
Egress,Walk and Read,50,5,30.89841,1.618206,17.39913
Egress,Walk and Read,50,5,33.21338,1.505417,17.96527
Egress,Walk and Read,50,5,32.69843,1.529126,17.71002
Egress,Walk and Read,50,5,31.53955,1.585311,17.54794
Egress,Walk and Read,50,5,31.49469,1.587569,17.7508
Egress,Walk and Read,50,5,32.18384,1.553575,17.42122
Egress,Walk and Read,50,5,34.04779,1.468524,17.86308
Egress,Walk and Read,50,10,34.61071,1.44464,18.13981
Egress,Walk and Read,50,10,30.08974,1.661696,18.38819
Egress,Walk and Read,50,10,32.45202,1.540736,17.12049
Egress,Walk and Read,50,10,39.1774,1.276246,17.64791
Egress,Walk and Read,50,10,34.76968,1.438034,17.19095
Egress,Walk and Read,50,10,35.53128,1.407211,17.90726
Egress,Walk and Read,50,10,33.96767,1.471988,17.79083
Egress,Walk and Read,50,10,33.63499,1.486547,18.13558
Egress,Walk and Read,50,10,31.08118,1.608691,18.12393
Egress,Walk and Read,50,10,33.30249,1.501389,17.66958
Egress,Walk and Read,50,10,33.31546,1.500805,17.96861
Egress,Walk and Read,50,10,32.70221,1.528949,18.16041
Egress,Walk and Read,50,10,33.74817,1.481562,18.09677
Egress,Walk and Read,50,10,31.68124,1.578221,17.70889
Egress,Walk and Read,50,10,35.18457,1.421077,17.54363
Egress,Walk and Read,50,10,36.08347,1.385676,17.79996
Egress,Walk and Read,50,10,32.19562,1.553006,17.45267
Egress,Walk and Read,50,10,34.51563,1.448619,18.20531
Egress,Walk and Read,50,10,35.66962,1.401753,18.00294
Egress,Walk and Read,50,10,34.67218,1.442078,17.53854
Egress,Walk and Read,50,20,35.3131,1.415905,17.07089
Egress,Walk and Read,50,20,35.10059,1.424477,17.53551
Egress,Walk and Read,50,20,33.62814,1.48685,17.71873
Egress,Walk and Read,50,20,36.98342,1.351957,18.09296
Egress,Walk and Read,50,20,32.03477,1.560804,18.17807
Egress,Walk and Read,50,20,34.85844,1.434373,17.88158
Egress,Walk and Read,50,20,33.69443,1.483925,17.93715
Egress,Walk and Read,50,20,33.25252,1.503646,17.44583
Egress,Walk and Read,50,20,31.84882,1.569917,17.7606
Egress,Walk and Read,50,20,34.95108,1.430571,18.24753
Egress,Walk and Read,50,20,30.39188,1.645177,18.14433
Egress,Walk and Read,50,20,32.01251,1.561889,17.991
Egress,Walk and Read,50,20,30.58942,1.634552,17.69232
Egress,Walk and Read,50,20,36.46954,1.371007,17.83003
Egress,Walk and Read,50,20,35.08014,1.425308,18.49942
Egress,Walk and Read,50,20,36.21313,1.380715,18.53454
Egress,Walk and Read,50,20,32.60754,1.533388,17.506
Egress,Walk and Read,50,20,33.38696,1.497591,17.97504
Egress,Walk and Read,50,20,34.81769,1.436052,17.83827
Egress,Walk and Read,50,20,35.5741,1.405517,17.34412
Egress,Walk and Read,50,30,36.0854,1.385602,17.43974
Egress,Walk and Read,50,30,33.75103,1.481436,17.65346
Egress,Walk and Read,50,30,30.00327,1.666485,17.17332
Egress,Walk and Read,50,30,35.27527,1.417424,18.13755
Egress,Walk and Read,50,30,34.21098,1.461519,17.705
Egress,Walk and Read,50,30,36.61696,1.365488,18.28869
Egress,Walk and Read,50,30,31.51387,1.586603,18.30896
Egress,Walk and Read,50,30,32.93336,1.518217,17.47029
Egress,Walk and Read,50,30,30.1788,1.656792,17.23774
Egress,Walk and Read,50,30,32.16974,1.554256,17.12912
Egress,Walk and Read,50,30,34.32065,1.456849,17.44567
Egress,Walk and Read,50,30,31.51895,1.586347,18.28153
Egress,Walk and Read,50,30,29.51135,1.694263,17.70556
Egress,Walk and Read,50,30,33.52017,1.491639,17.00885
Egress,Walk and Read,50,30,33.85043,1.477086,18.09593
Egress,Walk and Read,50,30,33.42178,1.49603,17.73244
