Scenario, Experiment Name, Total Agents, # Distracted Agents, Simulation Time, Flow Rate, Average Agent Path Length, Average Agent Kinetic Energy Average, Average Agent Effort
Egress,Walk and Talk,50,30,36.39481,1.373822,17.24623,0.4078403,73.06763
Egress,Walk and Talk,50,30,43.29544,1.154856,18.08393,0.4053832,79.13998
Egress,Walk and Talk,50,30,38.11987,1.311652,17.91103,0.4245376,74.06341
Egress,Walk and Talk,50,30,36.32498,1.376463,16.85142,0.4066291,70.78929
Egress,Walk and Talk,50,30,46.39429,1.077719,17.01283,0.3813144,75.8098
Egress,Walk and Talk,50,30,36.88501,1.355564,17.61721,0.4041401,73.22228
Egress,Walk and Talk,50,30,44.70001,1.118568,17.07313,0.3506709,82.41591
Egress,Walk and Talk,50,30,36.65393,1.36411,17.40143,0.4203815,71.7047
Egress,Walk and Talk,50,30,45.6391,1.095552,17.56299,0.3753747,81.60738
Egress,Walk and Talk,50,30,39.78174,1.256858,17.90464,0.423355,74.90243
Egress,Walk and Talk,50,40,43.29588,1.154844,17.35666,0.3887237,73.33635
Egress,Walk and Talk,50,40,41.4801,1.205397,18.06591,0.3483324,80.15066
Egress,Walk and Talk,50,40,39.20378,1.275387,17.7067,0.4093423,74.04307
Egress,Walk and Talk,50,40,36.81982,1.357964,17.53394,0.4015101,72.54556
Egress,Walk and Talk,50,40,37.52972,1.332277,17.55557,0.3873688,72.99081
Egress,Walk and Talk,50,40,40.50246,1.234493,18.04558,0.3976465,76.23057
Egress,Walk and Talk,50,40,35.32077,1.415598,17.40811,0.423755,69.35673
Egress,Walk and Talk,50,40,40.41364,1.237206,17.537,0.3755789,75.5849
Egress,Walk and Talk,50,40,45.8338,1.090898,17.68375,0.3679509,79.50391
Egress,Walk and Talk,50,40,39.77939,1.256932,17.15135,0.342419,75.7993
Egress,Walk and Talk,50,40,44.2153,1.13083,17.84571,0.3841955,80.04416
Egress,Walk and Talk,50,40,48.82144,1.02414,17.3571,0.3078932,85.69882
Egress,Walk and Talk,50,40,37.53043,1.332252,17.52984,0.3850303,74.08314
Egress,Walk and Talk,50,40,38.07275,1.313275,17.83074,0.410836,73.40918
Egress,Walk and Talk,50,40,40.97638,1.220215,17.51695,0.4055129,74.27847
Egress,Walk and Talk,50,40,38.28497,1.305995,17.47479,0.4057328,73.19698
Egress,Walk and Talk,50,40,43.02454,1.162128,18.34962,0.3639277,81.17023
Egress,Walk and Talk,50,40,37.42316,1.336071,18.22797,0.4106974,74.96988
Egress,Walk and Talk,50,40,45.27441,1.104377,17.64642,0.3434528,82.32744
Egress,Walk and Talk,50,40,39.03156,1.281015,17.21044,0.3867967,73.22472
Egress,Walk and Talk,50,50,54.47172,0.9179075,17.88962,0.2973164,87.92851
Egress,Walk and Talk,50,50,41.1494,1.215085,17.32651,0.3526939,74.93597
Egress,Walk and Talk,50,50,39.43827,1.267804,17.61418,0.330916,77.47542
Egress,Walk and Talk,50,50,41.51457,1.204396,16.90878,0.3475377,74.83727
Egress,Walk and Talk,50,50,39.30539,1.27209,18.28832,0.3751422,76.91548
Egress,Walk and Talk,50,50,40.52705,1.233744,17.76992,0.3980507,73.89345
Egress,Walk and Talk,50,50,42.07162,1.18845,17.99099,0.3586622,78.30989
Egress,Walk and Talk,50,50,42.75845,1.169359,17.80847,0.3360616,79.44287
Egress,Walk and Talk,50,50,40.88828,1.222844,17.75533,0.3503257,77.42061
Egress,Walk and Talk,50,50,40.82452,1.224754,17.11626,0.3546425,73.96114
Egress,Walk and Talk,50,50,38.25372,1.307062,17.7142,0.3779231,73.94096
Egress,Walk and Talk,50,50,45.8374,1.090812,17.88912,0.3289943,84.64725
